timestamp,roll_deg,pitch_deg,yaw_deg,x,y,z,vx,vy,vz,pbar_x,pbar_y,bgyr_x,bgyr_y,bgyr_z,bacc_x,bacc_y,bacc_z,bmag_x,bmag_y,bmag_z,P_dtheta_x,P_dtheta_y,P_dtheta_z,P_dpos_x,P_dpos_y,P_dpos_z,P_dvel_x,P_dvel_y,P_dvel_z,P_dpbar_x,P_dpbar_y,P_dbgyr_x,P_dbgyr_y,P_dbgyr_z,P_dbacc_x,P_dbacc_y,P_dbacc_z,P_dbmag_x,P_dbmag_y,P_dbmag_z
1768299701.190552,179.996759,-179.272989,178.704043,1000.000954,999.999863,1000.000534,0.000596,-0.000284,0.001267,0.000000,0.000000,-0.000041,-0.000075,-0.000015,0.000262,-0.000432,0.018593,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.209115,1.209115,1.209109,0.119585,0.119585,0.119573,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.195513,179.996771,-179.272945,178.703802,1000.000967,999.999818,1000.000571,0.000594,-0.000272,0.001253,0.000000,0.000000,-0.000041,-0.000075,-0.000015,0.000262,-0.000430,0.018579,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.211039,1.211039,1.211033,0.119587,0.119587,0.119575,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.203010,179.996771,-179.273078,178.703739,1000.000949,999.999804,1000.000608,0.000600,-0.000268,0.001240,0.000000,0.000000,-0.000040,-0.000075,-0.000015,0.000262,-0.000430,0.018566,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.212969,1.212969,1.212963,0.119588,0.119588,0.119576,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.205467,179.996754,-179.273211,178.704030,1000.000930,999.999854,1000.000643,0.000606,-0.000283,0.001228,0.000000,0.000000,-0.000041,-0.000075,-0.000015,0.000263,-0.000431,0.018553,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.214905,1.214905,1.214899,0.119589,0.119589,0.119578,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.212770,179.996745,-179.273344,178.704143,1000.000911,999.999871,1000.000678,0.000613,-0.000288,0.001215,0.000000,0.000000,-0.000041,-0.000075,-0.000014,0.000263,-0.000431,0.018540,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.216848,1.216848,1.216842,0.119591,0.119591,0.119579,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.215551,179.996756,-179.273299,178.703902,1000.000925,999.999825,1000.000716,0.000611,-0.000276,0.001202,0.000000,0.000000,-0.000041,-0.000075,-0.000014,0.000263,-0.000430,0.018527,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.218796,1.218796,1.218790,0.119592,0.119592,0.119580,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.220535,179.996775,-179.273256,178.703488,1000.000938,999.999748,1000.000789,0.000608,-0.000256,0.001173,0.000000,0.000000,-0.000040,-0.000075,-0.000014,0.000262,-0.000427,0.018498,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.220750,1.220750,1.220744,0.119594,0.119594,0.119582,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.228092,179.996760,-179.273388,178.703779,1000.000919,999.999798,1000.000824,0.000615,-0.000270,0.001161,0.000000,0.000000,-0.000040,-0.000075,-0.000014,0.000263,-0.000428,0.018485,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.222710,1.222710,1.222704,0.119595,0.119595,0.119583,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.230505,179.996749,-179.273341,178.704066,1000.000933,999.999848,1000.000824,0.000612,-0.000284,0.001163,0.000000,0.000000,-0.000041,-0.000075,-0.000014,0.000263,-0.000430,0.018488,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.224676,1.224676,1.224670,0.119597,0.119597,0.119585,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
1768299701.237854,179.996775,-179.273297,178.703472,1000.000946,999.999737,1000.000863,0.000610,-0.000255,0.001149,0.000000,0.000000,-0.000039,-0.000074,-0.000014,0.000262,-0.000427,0.018474,0.000000,0.000000,0.000000,0.000027,0.000028,0.002500,1.226648,1.226648,1.226642,0.119598,0.119598,0.119586,1.000000,1.000000,0.000000,0.000000,0.000000,0.002481,0.002480,0.000046,1.000000,1.000000,1.000000
